ncm,segment
84149039,AUTOPECAS
84149020,ELETRO - ST INTERNA
84149010,AUTOPECAS
84146000,ELETRO
84145990,AUTOPECAS
84145910,AUTOPECAS
84141000,AUTOPECAS
84139190,AUTOPECAS
84138100,AUTOPECAS
84137010,AUTOPECAS
84136019,AUTOPECAS
84135090,AUTOPECAS
84133010,MATERIAIS DE CONSTRUCAO
84131900,AUTOPECAS
84123110,AUTOPECAS
83111000,MATERIAIS DE CONSTRUCAO
83059000,MATERIAIS DE CONSTRUCAO
83024900,MATERIAIS DE CONSTRUCAO
83024100,MATERIAIS DE CONSTRUCAO
83023000,AUTOPECAS
83021000,AUTOPECAS
83014000,MATERIAIS DE CONSTRUCAO
82142000,PERFUM HIGIENE E COSM
82141000,PERFUM HIGIENE E COSM
82122010,PERFUM HIGIENE E COSM - ST INTERNA
82121020,PERFUM HIGIENE E COSM - ST INTERNA
82119210,FERRAMENTAS
82119100,FERRAMENTAS
82055900,MATERIAIS DE CONSTRUCAO
82055100,MATERIAIS DE CONSTRUCAO
82032090,PERFUM HIGIENE E COSM
82032010,MATERIAIS DE CONSTRUCAO
82021000,MATERIAIS DE CONSTRUCAO
82014000,MATERIAIS DE CONSTRUCAO
80070090,AUTOPECAS - FIDELIDADE
76169900,MATERIAIS DE CONSTRUCAO
76152000,MATERIAIS DE CONSTRUCAO
76151000,MATERIAIS DE CONSTRUCAO
76090000,MATERIAIS DE CONSTRUCAO
76071990,MATERIAIS DE CONSTRUCAO
76071190,PRODUTOS DE PAPELARIA
76042920,MATERIAIS DE CONSTRUCAO
76042919,MATERIAIS DE CONSTRUCAO
76042100,MATERIAIS DE CONSTRUCAO
74182000,MATERIAIS DE CONSTRUCAO
74111010,MATERIAIS DE CONSTRUCAO
73239900,MATERIAIS DE CONSTRUCAO
73231000,MATERIAIS DE LIMPEZA - ST INTERNA
73229010,AUTOPECAS
73219000,ELETRO
73218100,ELETRO
73211100,ELETRO
73158200,MATERIAIS DE CONSTRUCAO
73151290,AUTOPECAS
73151210,AUTOPECAS
73151100,AUTOPECAS
73145000,AUTOPECAS
73143100,MATERIAIS DE CONSTRUCAO
73130000,MATERIAIS DE CONSTRUCAO
73110000,AUTOPECAS
73089090,MATERIAIS DE CONSTRUCAO
73089010,MATERIAIS DE CONSTRUCAO
73084000,MATERIAIS DE CONSTRUCAO
73083000,MATERIAIS DE CONSTRUCAO
72172090,MATERIAIS DE CONSTRUCAO
72172010,MATERIAIS DE CONSTRUCAO
72171090,MATERIAIS DE CONSTRUCAO
72162100,MATERIAIS DE CONSTRUCAO
72149100,MATERIAIS DE CONSTRUCAO
72142000,MATERIAIS DE CONSTRUCAO
72071110,MATERIAIS DE CONSTRUCAO
70140000,AUTOPECAS
70102000,PERFUM HIGIENE E COSM - ST INTERNA
70091000,AUTOPECAS
70072900,AUTOPECAS - FIDELIDADE
70072100,AUTOPECAS
70071900,MATERIAIS DE CONSTRUCAO
70071100,AUTOPECAS
70052900,MATERIAIS DE CONSTRUCAO
70052100,MATERIAIS DE CONSTRUCAO
69120000,MATERIAIS DE CONSTRUCAO
69072200,MATERIAIS DE CONSTRUCAO
69060000,MATERIAIS DE CONSTRUCAO
69039099,AUTOPECAS
69010000,MATERIAIS DE CONSTRUCAO
68129910,AUTOPECAS
68101900,MATERIAIS DE CONSTRUCAO
68053090,MATERIAIS DE CONSTRUCAO
