ncm,segment
40121,PNEU CAM DE AR E PROT BORR - ST INTERNA
40120,PRODUTOS ALIMENTICIOS
40110,PRODUTOS ALIMENTICIOS
40103,AUTOPECAS - FIDELIDADE
39232,MATERIAIS DE LIMPEZA
27109,COMBUSTIVEIS E LUBRIFICANTES
24031,CIGARRO E OUTROS DERIV FUMO
21011,PRODUTOS ALIMENTICIOS
20098,PRODUTOS ALIMENTICIOS
20081,PRODUTOS ALIMENTICIOS
20059,PRODUTOS ALIMENTICIOS
19021,PRODUTOS ALIMENTICIOS
17011,PRODUTOS ALIMENTICIOS
15141,PRODUTOS ALIMENTICIOS
9615,PERFUM HIGIENE E COSM
9608,PRODUTOS DE PAPELARIA
9504,ELETRO - ST INTERNA
9405,ELETRO - ST INTERNA
9029,AUTOPECAS
9026,AUTOPECAS
9015,FERRAMENTAS
9006,ELETRO - ST INTERNA
8714,AUTOPECAS
8711,VEIC MOTOR DUAS OU TRES RODAS
8708,AUTOPECAS
8707,AUTOPECAS
8544,AUTOPECAS
8543,ELETRO - ST INTERNA
8541,AUTOPECAS
8540,LAMPADA REATOR E STARTER
8539,LAMPADA REATOR E STARTER
8538,AUTOPECAS
8534,AUTOPECAS
8531,ELETRO - ST INTERNA
8529,ELETRO - ST INTERNA
8528,ELETRO
8527,ELETRO
8525,ELETRO
8522,ELETRO - ST INTERNA
8519,ELETRO - ST INTERNA
8518,AUTOPECAS
8517,ELETRO - ST INTERNA
8511,AUTOPECAS
8510,ELETRO
8509,ELETRO
8508,ELETRO - ST INTERNA
8505,AUTOPECAS
8504,ELETRO - ST INTERNA
8484,AUTOPECAS
8483,AUTOPECAS
8482,AUTOPECAS - FIDELIDADE
8481,AUTOPECAS - FIDELIDADE
8467,FERRAMENTAS - ST INTERNA
8443,ELETRO
8424,ELETRO
8423,ELETRO
8422,ELETRO
8420,ELETRO
8413,AUTOPECAS - FIDELIDADE
8412,AUTOPECAS
8409,AUTOPECAS
8408,AUTOPECAS
8407,AUTOPECAS
8311,MATERIAIS DE CONSTRUCAO
8307,MATERIAIS DE CONSTRUCAO
8301,MATERIAIS DE CONSTRUCAO
8213,FERRAMENTAS
8211,FERRAMENTAS
8209,FERRAMENTAS
8208,FERRAMENTAS
8207,FERRAMENTAS
8206,FERRAMENTAS
8205,FERRAMENTAS
8204,FERRAMENTAS
8203,FERRAMENTAS
8202,FERRAMENTAS
8201,FERRAMENTAS
7616,AUTOPECAS
7610,MATERIAIS DE CONSTRUCAO
7609,AUTOPECAS
7608,MATERIAIS DE CONSTRUCAO
7415,AUTOPECAS - FIDELIDADE
7412,MATERIAIS DE CONSTRUCAO
7407,MATERIAIS DE CONSTRUCAO
7326,MATERIAIS DE CONSTRUCAO
7325,AUTOPECAS - FIDELIDADE
7324,MATERIAIS DE CONSTRUCAO
7323,MATERIAIS DE CONSTRUCAO
7321,ELETRO
7320,AUTOPECAS
7318,AUTOPECAS
7315,AUTOPECAS - FIDELIDADE
7314,MATERIAIS DE CONSTRUCAO
7312,MATERIAIS DE CONSTRUCAO
7310,MATERIAIS DE CONSTRUCAO
7307,MATERIAIS DE CONSTRUCAO
7213,MATERIAIS DE CONSTRUCAO
7016,MATERIAIS DE CONSTRUCAO
7009,AUTOPECAS
7008,MATERIAIS DE CONSTRUCAO
7005,MATERIAIS DE CONSTRUCAO
7004,MATERIAIS DE CONSTRUCAO
7003,MATERIAIS DE CONSTRUCAO
6910,MATERIAIS DE CONSTRUCAO
6905,MATERIAIS DE CONSTRUCAO
6904,MATERIAIS DE CONSTRUCAO
6902,MATERIAIS DE CONSTRUCAO
6813,AUTOPECAS
6811,MATERIAIS DE CONSTRUCAO
6804,FERRAMENTAS
6406,CALCADOS E SUAS PARTES
6405,CALCADOS E SUAS PARTES
6404,CALCADOS E SUAS PARTES
6403,CALCADOS E SUAS PARTES
6402,CALCADOS E SUAS PARTES
6401,CALCADOS E SUAS PARTES
4817,PRODUTOS DE PAPELARIA
4816,PRODUTOS DE PAPELARIA
4814,MATERIAIS DE CONSTRUCAO
4809,PRODUTOS DE PAPELARIA
4504,AUTOPECAS
4029,PRODUTOS ALIMENTICIOS
4022,PRODUTOS ALIMENTICIOS
4021,PRODUTOS ALIMENTICIOS
4013,PNEU CAM DE AR E PROT BORR
4011,PNEU CAM DE AR E PROT BORR
4009,AUTOPECAS
4008,AUTOPECAS
3924,MATERIAIS DE CONSTRUCAO
3922,MATERIAIS DE CONSTRUCAO
3921,MATERIAIS DE CONSTRUCAO
3920,MATERIAIS DE CONSTRUCAO
3919,MATERIAIS DE CONSTRUCAO
3918,MATERIAIS DE CONSTRUCAO
3917,AUTOPECAS
3916,MATERIAIS DE CONSTRUCAO
3910,MATERIAIS DE CONSTRUCAO
3403,COMBUSTIVEIS E LUBRIFICANTES
3402,MATERIAIS DE LIMPEZA
3301,PERFUM HIGIENE E COSM
3212,TINTAS E VERNIZES
3210,TINTAS E VERNIZES
3209,TINTAS E VERNIZES
3208,TINTAS E VERNIZES
3206,TINTAS E VERNIZES
3205,TINTAS E VERNIZES
3204,TINTAS E VERNIZES
3005,MEDIC E OUTROS PROD FARM - NEU
3004,MEDIC E OUTROS PROD FARM - POS
3003,MEDIC E OUTROS PROD FARM - NEG
3002,MEDIC E OUTROS PROD FARM - POS
2936,MEDIC E OUTROS PROD FARM - NEU
2821,TINTAS E VERNIZES
2713,COMBUSTIVEIS E LUBRIFICANTES
2711,COMBUSTIVEIS E LUBRIFICANTES
2523,CIMENTO
2522,MATERIAIS DE CONSTRUCAO
2402,CIGARRO E OUTROS DERIV FUMO
2309,RACAO PET PARA ANIMAIS DOMESTIC
2208,BEBIDA ALC EXCT CERV E CHOP
2207,BEBIDA ALC EXCT CERV E CHOP
2206,BEBIDA ALC EXCT CERV E CHOP
2205,BEBIDA ALC EXCT CERV E CHOP
2204,BEBIDA ALC EXCT CERV E CHOP
2202,CERV CHOP REFRI AGUA E OUTRAS
2106,SORVETES E PREP PARA FAB EM MAQ
2105,SORVETES E PREP PARA FAB EM MAQ
2101,PRODUTOS ALIMENTICIOS
2072,PRODUTOS ALIMENTICIOS
2071,PRODUTOS ALIMENTICIOS
2009,PRODUTOS ALIMENTICIOS
2008,PRODUTOS ALIMENTICIOS
2007,PRODUTOS ALIMENTICIOS
2005,PRODUTOS ALIMENTICIOS
2004,PRODUTOS ALIMENTICIOS
2002,PRODUTOS ALIMENTICIOS
2001,PRODUTOS ALIMENTICIOS
1902,PRODUTOS ALIMENTICIOS
1901,SORVETES E PREP PARA FAB EM MAQ
1806,SORVETES E PREP PARA FAB EM MAQ
1702,PRODUTOS ALIMENTICIOS
1605,PRODUTOS ALIMENTICIOS
1604,PRODUTOS ALIMENTICIOS
1602,PRODUTOS ALIMENTICIOS
1518,PRODUTOS ALIMENTICIOS
1516,PRODUTOS ALIMENTICIOS
1515,PRODUTOS ALIMENTICIOS
1514,PRODUTOS ALIMENTICIOS
1513,PRODUTOS ALIMENTICIOS
1511,PRODUTOS ALIMENTICIOS
1509,PRODUTOS ALIMENTICIOS
1508,PRODUTOS ALIMENTICIOS
1502,PRODUTOS ALIMENTICIOS
1501,PRODUTOS ALIMENTICIOS
902,PRODUTOS ALIMENTICIOS
901,PRODUTOS ALIMENTICIOS
811,PRODUTOS ALIMENTICIOS
710,PRODUTOS ALIMENTICIOS
406,PRODUTOS ALIMENTICIOS
403,PRODUTOS ALIMENTICIOS
209,PRODUTOS ALIMENTICIOS
207,PRODUTOS ALIMENTICIOS
206,PRODUTOS ALIMENTICIOS
204,PRODUTOS ALIMENTICIOS
203,PRODUTOS ALIMENTICIOS
202,PRODUTOS ALIMENTICIOS
201,PRODUTOS ALIMENTICIOS
96,VENDA MERC SIST MARKET DIRETO
95,VENDA MERC SIST MARKET DIRETO
94,VENDA MERC SIST MARKET DIRETO
91,VENDA MERC SIST MARKET DIRETO
90,VENDA MERC SIST MARKET DIRETO
85,VENDA MERC SIST MARKET DIRETO
84,VENDA MERC SIST MARKET DIRETO
83,VENDA MERC SIST MARKET DIRETO
82,VENDA MERC SIST MARKET DIRETO
76,VENDA MERC SIST MARKET DIRETO
73,VENDA MERC SIST MARKET DIRETO
71,VENDA MERC SIST MARKET DIRETO
70,VENDA MERC SIST MARKET DIRETO
69,VENDA MERC SIST MARKET DIRETO
68,VENDA MERC SIST MARKET DIRETO
67,VENDA MERC SIST MARKET DIRETO
66,VENDA MERC SIST MARKET DIRETO
65,VENDA MERC SIST MARKET DIRETO
64,VENDA MERC SIST MARKET DIRETO
63,VENDA MERC SIST MARKET DIRETO
62,VENDA MERC SIST MARKET DIRETO
61,VENDA MERC SIST MARKET DIRETO
58,VENDA MERC SIST MARKET DIRETO
56,VENDA MERC SIST MARKET DIRETO
55,VENDA MERC SIST MARKET DIRETO
52,VENDA MERC SIST MARKET DIRETO
49,VENDA MERC SIST MARKET DIRETO
48,VENDA MERC SIST MARKET DIRETO
44,VENDA MERC SIST MARKET DIRETO
42,VENDA MERC SIST MARKET DIRETO
40,VENDA MERC SIST MARKET DIRETO
39,VENDA MERC SIST MARKET DIRETO
38,VENDA MERC SIST MARKET DIRETO
35,VENDA MERC SIST MARKET DIRETO
34,VENDA MERC SIST MARKET DIRETO
33,VENDA MERC SIST MARKET DIRETO
29,VENDA MERC SIST MARKET DIRETO
28,VENDA MERC SIST MARKET DIRETO
27,VENDA MERC SIST MARKET DIRETO
23,VENDA MERC SIST MARKET DIRETO
22,VENDA MERC SIST MARKET DIRETO
21,VENDA MERC SIST MARKET DIRETO
20,VENDA MERC SIST MARKET DIRETO
19,VENDA MERC SIST MARKET DIRETO
18,VENDA MERC SIST MARKET DIRETO
17,VENDA MERC SIST MARKET DIRETO
16,VENDA MERC SIST MARKET DIRETO
15,VENDA MERC SIST MARKET DIRETO
14,VENDA MERC SIST MARKET DIRETO
13,VENDA MERC SIST MARKET DIRETO
